mouseID,sex,date,weekday,schedule,trials,note
dodo2,M,2026-02-10,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo3,M,2026-02-10,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo4,M,2026-02-10,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga1,F,2026-02-10,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,192.0,
quagga2,F,2026-02-10,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga3,F,2026-02-10,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga4,F,2026-02-10,1.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
,,,,,,
dodo1,M,2026-02-11,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo2,M,2026-02-11,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo3,M,2026-02-11,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo4,M,2026-02-11,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga1,F,2026-02-11,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga2,F,2026-02-11,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga3,F,2026-02-11,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga4,F,2026-02-11,2.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
,,,,,,
dodo1,M,2026-02-12,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo2,M,2026-02-12,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo3,M,2026-02-12,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
dodo4,M,2026-02-12,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga1,F,2026-02-12,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga2,F,2026-02-12,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga3,F,2026-02-12,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
quagga4,F,2026-02-12,3.0,cog_100-0 no correction trial_RewardTone_AND_Punish,250.0,
,,,,,,
